,Season,Team Name,Seed,Region,Year,Team
660,2016,South Dakota State,12,South,2016,South Dakota State
661,2016,California,4,South,2016,California
662,2016,Hawaii,13,South,2016,Hawaii
663,2016,Arizona,6,South,2016,Arizona
664,2016,Wichita State,11,South,2016,Wichita State
665,2016,Vanderbilt,11,South,2016,Vanderbilt
666,2016,Miami,3,South,2016,Miami
667,2016,Buffalo,14,South,2016,Buffalo
668,2016,Iowa,7,South,2016,Iowa
669,2016,Temple,10,South,2016,Temple
670,2016,Villanova,2,South,2016,Villanova
671,2016,UNC Asheville,15,South,2016,UNC Asheville
672,2016,North Carolina,1,East,2016,North Carolina
673,2016,Florida Gulf Coast,16,East,2016,Florida Gulf Coast
674,2016,Fairleigh Dickinson,16,East,2016,Fairleigh Dickinson
675,2016,USC,8,East,2016,USC
676,2016,Providence,9,East,2016,Providence
677,2016,Indiana,5,East,2016,Indiana
678,2016,Chattanooga,12,East,2016,Chattanooga
679,2016,Kentucky,4,East,2016,Kentucky
680,2016,Stony Brook,13,East,2016,Stony Brook
681,2016,Notre Dame,6,East,2016,Notre Dame
